FacilityName,POINT_X,POINT_Y,Region,District,ActivityHP,ValueID,LabelID,FederalID,SNO,RegionID,ZoneID,DistrictID,LocationID,Month,Year,Value,Level,FACILITYTYPE
Alilsubula Health Center,0,0,Afar,Ewa Woreda,55-64 years : males,391914866,4076,0,4.2.2.1.4.13,2,204,20402,204020021,1,2007,7,0,2
ARIYA MEDIUM CLINI,,,Oromiya,Dodola Woreda,                                                      : females,397809100,3718,0,4.2.1.5.1.1.2,4,417,41707,41722,1,2007,10,0,6
Chancho Health Center,9.304817,38.758026,Oromiya,Sululta Woreda,,92950200,771,0,,4,423,42305,423050021,1,2007,6,0,2
Wayyu Kiltu Health Post,0,0,Oromiya,Jimma Arjo Woreda,,353311827,808,0,,4,402,40214,4021400320,1,2007,8,0,3
Tere Health Center,0,0,Amhara,Kewet Woreda,Total number of slides or RDT performed for malaria diagnosis,375933798,3205,0,4.2.5.3.1.7,3,305,30512,305120021,1,2007,4,0,2
Ketta Bosa Health Post,0,0,Oromiya,Chora Boter Woreda,OPD visits < 5: new Male,394908722,164,0,1.1.1,4,404,40415,4041500314,1,2007,4,0,3
Gulele Health Center,9.01,38.74,Addis Ababa,Arada Kifle Ketema,,412960059,1542,0,,14,0,14107,141070022,1,2007,0,0,2
Wunbiri Wundigi Health Center,0,0,Amhara,Ankasha Guagusa Woreda,,137582480,1365,0,,3,309,30903,309030025,1,2007,6,0,2
Yebu Health Center,7.773504,36.723448,Oromiya,Mana Woreda,,340728096,1402,0,,4,404,40406,404060021,1,2007,2,0,2
Ethio Melstgna Clinic,,,Amhara,Werebabo Woreda,                                                                                                                                                                                                                           Female,375486163,4216,0,4.2.4.2.6,3,304,30406,304060033,1,2007,2,0,6
K Bujuree Health Post,0,0,Oromiya,Adami Tulu Jido Kombolcha Woreda,,355702344,597,0,,4,407,40708,407080141,1,2007,9,0,3
Gadio Lusha,,,Oromiya,Dama Woreda,Amoxicillin,397464350,140,0, ,4,414,41415,414150030,1,2007,5,0,3
HARARI PRISON COMMISON,,,Harari,Shenkor Woreda,,93171586,383,0,,13,1302,130206,1302060023,1,2007,7,0,50
Dedere Health Center,0,0,Tigray,Kola Temben Woreda,,172570445,1000,0,,1,102,10208,102080027,1,2007,6,0,2
Keyi Hamus Health Center,0,0,Oromiya,Limu Woreda,,353917817,454,0,,4,402,40201,402010022,1,2007,3,0,2
D_Makkoo Health Post,0,0,Oromiya,Diga Woreda,,354724359,402,0,,4,403,40304,4030400301,1,2007,0,0,3
Qilxuu ilaalaa Health Post,0,0,Oromiya,Boke Woreda,Oral contraceptives,396217097,3023,0,1.1.1.2.2.1,4,409,40910,4091000305,1,2007,10,0,3
Roba Health Center,0,0,Oromiya,Kofele Woreda,,92763108,372,0,,4,417,41704,417040022,1,2007,3,0,2
Family Guidance Assoction,,,Amhara,Tarma Ber Woreda,,147608367,645,0,,3,305,30510,305100027,1,2007,2,0,4
Roba Health Center,0,0,Oromiya,Kofele Woreda,,339190685,1160,0,,4,417,41704,417040022,1,2007,1,0,2
Robit Health Center,12.0131439,39.6285874,Amhara,Raya Kobo Woreda,4e= TDF-3TC-EFV: males,375121971,3766,0,4.2.1.2.1.9,3,303,30302,303020024,1,2007,1,0,2
Golaja Health Center,0,0,Oromiya,Tiyo Woreda,"Number of adult and pediatric patients with an undetectable viral load <1,000 copies/ml at 12 months",395935569,3892,0,4.2.1.8.1,4,408,40816,408160021,1,2007,4,0,2
Hayra Health Center,0,0,Amhara,Tehuledere Woreda,,136589723,1318,0,,3,304,30405,304050023,1,2007,9,0,2
Filatit Health Post,0,0,Amhara,Dega Damot Woreda,,148243312,850,0,,3,307,30707,3070700301,1,2007,6,0,3
Hisu Health Center,0,0,Oromiya,Sinana Woreda,,340089120,1446,0,,4,411,41109,411090025,1,2007,2,0,2
Halid Clinic,,,Beneshangul Gumuz,Sherkole Woreda,Number HIV -ve,368191171,3055,0,1.2.7.2,6,603,60304,603040025,1,2007,7,0,6
Moye Health Center,0,0,Oromiya,Chole Woreda,    >= 25 years,395838239,3036,0,1.1.9.1.2,4,408,40809,408090022,1,2007,4,0,2
Gashena Health Center,11.6879164,38.9237464,Amhara,Wadla Woreda,,136313050,929,0,,3,303,30305,303050026,1,2007,8,0,2
Abedu Ali Clinic,,,Amhara,Saya Deberna Wayu Woreda,,147749167,493,0,,3,305,30523,305230026,1,2007,9,0,6
Likiti Health Center,0,0,Oromiya,Qondala Woreda,,339392145,1458,0,,4,401,40109,401090024,1,2007,5,0,2
DOBA,,,Amhara,Menz Keya Gebreal Woreda,15-19 years,376081082,3015,0,1.1.1.1.2.2,3,305,30521,305210027,1,2007,6,0,3
Sadi Health Center,0,0,Oromiya,Gera Woreda,                  : females,394759637,3688,0,4.2.1.2.1.14,4,404,40408,404080023,1,2007,3,0,2
Meri Health Center,9.01,38.88,Addis Ababa,Bole Kifle Ketema,,413006828,1310,0,,14,0,14110,141100028,1,2007,1,0,2
Hawelti Health Center,0,0,Tigray,Raya Azebo Woreda,,172867402,1270,0,,1,104,10406,104060026,2,2007,4,0,2
Shenfa Health Center,0,0,Amhara,Metema Woreda,,144075975,1072,0,,3,301,30113,301130023,2,2007,7,0,2
Derer Arba Health Post,0,0,Oromiya,Babile Woreda,,356797031,291,0,,4,410,41004,4100400312,2,2007,10,0,3
Gashena Health Center,11.6879164,38.9237464,Amhara,Wadla Woreda,Births Attended by skilled attendant,377861614,7,0,1.1.5.1,3,303,30305,303050026,2,2007,7,0,2
Damota Health Center,,,Oromiya,Haromaya Woreda,4e= TDF-3TC-EFV: males,401709765,3803,0,4.2.1.3.1.9,4,410,41006,410060027,2,2007,0,0,2
S_Changicha Health Post,0,0,Oromiya,Enkelo Wabe Woreda,,99890391,351,0,,4,408,40824,4082400303,2,2007,8,0,3
Katolic,,,Amhara,Kobo Town Woreda,,152604590,550,0,,3,303,30313,303130022,2,2007,10,0,4
Walee Cilaaloo Health Post,0,0,Oromiya,Were Jarso Woreda,,356367464,562,0,,4,406,40601,4060100304,2,2007,9,0,3
Senbo Health Post,0,0,Amhara,Kelela Woreda,Zinc,378263419,3210,0, ,3,304,30413,3041300303,2,2007,7,0,3
Gunfi Health Post,0,0,Oromiya,Mene Sibu Woreda,Total Number of children screened for malnutrition,399000737,3064,0,2.3.1,4,401,40101,4010100314,2,2007,7,0,3
Semema Health Post,,,Tigray,Nader Adet Woreda,,173910821,403,0,,1,102,10207,1020700314,2,2007,2,0,3
Chefa Robit Health Center,10.552983,39.926026,Amhara,Artuma Fursi Woreda,,145974301,1422,0,,3,310,31004,310040021,2,2007,5,0,2
Seka Health Center,0,0,Oromiya,Seka Chokorsa Woreda,,342137112,877,0,,4,404,40409,404090024,2,2007,8,0,2
Shalom Medium Clinic,,,Amhara,Kombolcha Town Woreda,15-19 years : males,378351082,3933,0,4.2.1.10.1.9,3,304,30417,304170037,2,2007,5,0,6
Sakerro Health Post,0,0,Oromiya,Adola Rural Woreda,Polio doses opened,402881537,1647,0,1.3.10.5(Opened),4,414,41417,4141700312,2,2007,9,0,3
Siree Shifaa Health Center,0,0,Oromiya,Kofele Woreda,,100285643,572,0,,4,417,41704,417040028,2,2007,1,0,2
Dessie Health Center,11.121554,39.636168,Amhara,,,146148754,1632,0,,3,314,0,314000021,2,2007,9,0,2
Kolba Ambo Health Center,0,0,Oromiya,Seyo Nole Woreda,,343730424,1116,0,,4,401,40118,401180021,2,2007,1,0,2
Koka Health Center,0,0,Oromiya,Lume Woreda,,359347925,513,0,,4,407,40704,407040025,2,2007,7,0,2
Elala Health Center,0,0,Oromiya,Fentale Woreda,4f=AZT + 3TC + LPV/r: males,400741038,3842,0,4.2.1.4.1.11,4,407,40701,407010028,2,2007,7,0,2
Nedjo Health Center,9.503016,35.50691,Oromiya,Nejo Woreda,,99275950,827,0,,4,401,40102,401020021,2,2007,4,0,2
Gededo Health Center,6.1590835,38.2096231,Amhara,Tach Gayint Woreda,,152235260,2392,0,,3,302,30206,302060026,2,2007,0,0,2
Selekhlekha Health Center,0,0,Tigray,Medebay Zana Woreda,25-49years : males,241106910,3937,0,4.2.1.10.1.13,1,101,10103,101030023,2,2007,6,0,2
Chobi Sirba Health Post,0,0,Oromiya,Jeldu Woreda,,359007911,303,0,,4,405,40502,4050200308,2,2007,6,0,3
Aba Bora Health Center,9.3446,34.528,Oromiya,Chora Woreda,                  : females,399532942,3873,0,4.2.1.6.6,4,403,40303,403030022,2,2007,6,0,2
Semit Health Center,8.99,38.86,Addis Ababa,Bole Kifle Ketema,                  : females,415189233,3957,0,4.2.1.11.16,14,0,14110,141100029,2,2007,6,0,2
Betmera Health Center,0,0,Tigray,Emba Alaje Woreda,,172849790,2418,0,,1,104,10404,104040021,2,2007,5,0,2
Roge Health Center,,,Oromiya,Meyu Muleke Woreda,,342992010,1251,0,,4,410,41018,410180025,2,2007,10,0,2
Beru Muri,,,Oromiya,Chora Woreda,,358218428,370,0,,4,403,40303,403030031,2,2007,8,0,3
Ilamu Health Post,0,0,Oromiya,Sebeta Hawas Woreda,Tetracycline Eye Ointment,398881300,144,0, ,4,423,42310,4231000307,2,2007,8,0,3
Dereku Health Center,0,0,Oromiya,Habro Woreda,,99915994,501,0,,4,409,40908,409080024,2,2007,3,0,2
Bazura Health Center,0,0,Amhara,Mekdela Woreda,,152620019,591,0,,3,304,30401,304010022,2,2007,2,0,2
Shire MC Health Center,0,0,Tigray,Shire Enida Silase Town Woreda,                  : females,241175971,3669,0,4.2.1.1.2.2.14,1,101,10107,101070021,2,2007,6,0,2
Sirima Health Post,0,0,Oromiya,Berbere Woreda,,358785204,351,0,,4,411,41114,4111400302,2,2007,7,0,3
Gobu Guda Health Post,0,0,Oromiya,Gida Ayana Woreda,Pentavalent DPT-Hep-Hib Vaccine,399472943,150,0, ,4,402,40219,4021900313,2,2007,3,0,3
Bemnat Cilinic,0,0,Oromiya,Zeway Batu Town Woreda,,99806013,664,0,,4,407,40713,407130028,2,2007,1,0,6
Kahsay Abera Hospital,14.275812,36.609193,Tigray,,,172695460,1528,0,,1,0,0,10008,2,2007,3,0,1
Mehal Meda Hospital,10.309289,39.659087,Amhara,,,145043151,2398,0,,3,305,0,305000012,2,2007,9,0,1
Gura Afalo Health Post,0,0,Oromiya,Gera Woreda,,356460052,386,0,,4,404,40408,4040800304,2,2007,7,0,3
Medhanialem Medium Clinic,,,Amhara,Debretabor Town Woreda,                  : females,377711617,3871,0,4.2.1.6.4,3,302,30210,302100026,2,2007,0,0,6
Liben Medium Clinic,,,Oromiya,Negele Town Woreda,5e=ABC + 3TC + LPV/r: males,402801238,3781,0,4.2.1.2.2.9,4,414,41411,414110022,2,2007,6,0,6
Negash Health Center,0,0,Tigray,Klite Awlalo Woreda,,172841122,1311,0,,1,103,10306,103060023,2,2007,2,0,2
Borusilliase Health Center,0,0,Amhara,,,146161642,1552,0,,3,314,0,314000025,2,2007,2,0,2
Bishoftu Zonal Hospital,8.750626,38.982327,Oromiya,,,341950416,1099,0,,4,422,0,407090011,2,2007,9,0,1
Y_Kilxu Health Post,0,0,Oromiya,Ambo Woreda,,359070708,303,0,,4,405,40503,4050300311,2,2007,10,0,3
Lalisa Komis Health Post,0,0,Oromiya,Qiltu Kara Woreda,Number of children screened and have severe acute malnutrition,399054876,3065,0,2.3.2,4,401,40105,4010500302,2,2007,1,0,3
Kaseja Health Center,0,0,Oromiya,Gemechis Woreda,,99932817,445,0,,4,409,40912,409120022,2,2007,8,0,2
Zigyibel Asefa Primary Clinic,,,Amhara,Gonge Kolela Woreda,,153978936,558,0,,3,307,30712,307120030,2,2007,5,0,6
Robe Health Center,7.105828,40.001266,Oromiya,Robe Woreda,,342446521,939,0,,4,408,40812,408120022,2,2007,3,0,2
Geshe Bomittu Health Post,0,0,Oromiya,Hambela Wemena Woreda,,356427009,614,0,,4,414,41409,4140900302,2,2007,5,0,3
Aradano Shifa Health Post,,,Oromiya,Bishan Guracha Town Woreda,< 1 year: males,398398865,3910,0,4.2.1.9.1.2.1,4,417,41791,417120029,2,2007,8,0,3
Ano Abbale Health Post,0,0,Oromiya,Degem Woreda,,99690703,558,0,,4,406,40605,4060500316,2,2007,3,0,3
Abazaz Health Center,0,0,Amhara,Sinan Woreda,,153657043,559,0,,3,306,30616,306160023,2,2007,0,0,2
Somboo Health Center,0,0,Oromiya,Yayo Woreda,,341078505,1085,0,,4,403,40309,403090022,2,2007,3,0,2
Gara Chatu Health Center,0,0,Oromiya,Kimbibit Woreda,,355969069,680,0,,4,406,40610,406100022,2,2007,9,0,2
Worgesa Health Center,0,0,Amhara,Habru Woreda,                            : females,377903870,3839,0,4.2.1.4.1.8,3,303,30308,303080023,2,2007,4,0,2
Akaki Health Center,8.89,38.76,Addis Ababa,Akaki Kality Kifle Ketema,,413817035,1570,0,,14,0,14101,141010021,2,2007,8,0,2
Rama Health Center,0,0,Tigray,Mereb Leha Woreda,,173873358,548,0,,1,102,10201,102010021,2,2007,8,0,2
Birhanu Yimam Melstgn Clinic,,,Amhara,Werebabo Woreda,,144809254,1266,0,,3,304,30406,304060035,2,2007,10,0,6
Kore Health Center,,,Oromiya,Melka Belo Woreda,,343252007,1233,0,,4,410,41012,410120026,2,2007,0,0,2
Bachima Health Post,0,0,Amhara,Mecha Woreda,"Number of weights recorded with severe malnutrition, by age (Z-score below -3: Severely under weight)",379246684,4485,0,2.2.3,3,307,30704,3070400305,2,2007,7,0,3
Burqaa albuudaa Health Post,0,0,Oromiya,Gemechis Woreda,OPD visits < 5: repeat Female,401557775,167,0,1.1.4,4,409,40912,4091200323,2,2007,6,0,3
Ambaallo Dilla Health Center,8.5931,39.1258,Oromiya,Babo Gambel Woreda,,100504178,1213,0,,4,401,40111,401110023,2,2007,5,0,2
zuna Health Post,0,0,Amhara,Sekota Woreda,,154042971,316,0,,3,308,30802,3080200308,2,2007,10,0,3
Aweday Health Center,0,0,Oromiya,Aweday Town Woreda,,343061972,1098,0,,4,410,41020,410200021,2,2007,7,0,2
Abdi Primary Clinic,,,Oromiya,Kersana Malima Woreda,,358513526,304,0,,4,413,41307,413070034,2,2007,7,0,6
Aseko Health Center,9.2388,41.8281,Oromiya,Aseko Woreda,                            : females,400977062,3798,0,4.2.1.3.1.4,4,408,40802,408020021,2,2007,7,0,2
Arkumbe-02 Health Post,0,0,Oromiya,Limu Woreda,,99351613,346,0,,4,402,40201,4020100308,2,2007,8,0,3
Mahilate,,,Amhara,Tenta Woreda,,152656500,398,0,,3,304,30402,304020030,2,2007,3,0,6
Ajja Health Center,0,0,Amhara,Ebinat Woreda,,144169981,1627,0,,3,302,30201,302010028,2,2007,8,0,2
Burka Sayo Health Center,8.7,41.65,Oromiya,Yubdo Woreda,,343722034,1214,0,,4,401,40112,401120022,2,2007,0,0,2
Korbeti Health Post,0,0,Oromiya,Shala Woreda,,356034422,358,0,,4,417,41702,4170200314,2,2007,3,0,3
Homacho Rihaana Health Post,0,0,Oromiya,Gemechis Woreda,< 15 years,401555623,3010,0,1.1.1.1.1.1,4,409,40912,4091200315,2,2007,7,0,3
Hawer Gedeb Health Center,0,0,Oromiya,Dawe Kechen Woreda,,101082237,998,0,,4,411,41121,411210023,2,2007,3,0,2
Maksegn Health Center,0,0,Amhara,Jabi Tehinan Woreda,,153902772,325,0,,3,307,30709,307090027,2,2007,8,0,2
Gombo Health Center,0,0,Oromiya,Jimma Arjo Woreda,,342854838,1558,0,,4,402,40214,402140022,2,2007,7,0,2
Taltalle fi Birre Health Post,0,0,Oromiya,Nono Woreda,,359156323,562,0,,4,405,40508,4050800332,2,2007,3,0,3
Gudina Biya Health Center,0,0,Oromiya,Bako Tibe Woreda, Age: 25-59 Months,400284071,3059,0,2.2.1.2,4,405,40506,405060025,2,2007,1,0,2
Alge Health Center ,8.1481,38.8056,Oromiya,Fentale Woreda,,99727692,599,0,,4,407,40701,407010023,2,2007,6,0,2
Yibsana Health Post,0,0,Amhara,Enebse Sar Midir Woreda,,153420291,313,0,,3,306,30604,3060400301,2,2007,3,0,3
Chelekot Health Center,0,0,Tigray,Enderta Woreda,15-19 years,241632462,3011,0,1.1.1.1.1.2,1,107,10702,107020022,2,2007,7,0,2
Hopha Health Center,9.497905,40.62868,Oromiya,Qondala Woreda,,357871584,844,0,,4,401,40109,401090022,2,2007,6,0,2
Azemer Health Post,0,0,Amhara,Jabi Tehinan Woreda,Number of children under one year of age who have received first dose of Polio vaccine,379387264,3056,0,1.3.9.2,3,307,30709,3070900322,2,2007,2,0,3
Welday Ramis Health Post,0,0,Oromiya,Bedeno Woreda, Age: 0-24 Months,401882343,3062,0,2.2.3.1,4,410,41013,4101300332,2,2007,8,0,3
Balemi Health Center,0,0,Oromiya,Midakegni Woreda,,115390407,904,0,,4,405,40504,405040021,3,2007,4,0,2
Hareg Health Post,0,0,Amhara,Quarit Woreda,,153830950,398,0,,3,307,30706,3070600300,3,2007,6,0,3
Chingii Health Center,0,0,Oromiya,Sibu Sire Woreda,,343087559,1416,0,,4,402,40209,402090023,3,2007,10,0,2
Mikire Health Center,0,0,Amhara,Misrak Este Woreda,15-19 years,377647659,3015,0,1.1.1.1.2.2,3,302,30208,302080029,3,2007,10,0,2
Mudena Jiru Belina Health Post,0,0,Oromiya,Girawa Woreda,,356980016,650,0,,4,410,41016,4101600317,3,2007,7,0,3
Chokorsa Doyu HP,,,Oromiya,Alge Sachi Woreda,Rota doses given (all ages),399528683,3008,0,1.3.10.4(Given),4,403,40302,403020046,3,2007,2,0,3
Minjar Private For Profit Facilities,,,Amhara,Minjar Woreda,,145299864,1385,0,,3,305,30518,305180028,3,2007,4,0,6
Hadealga Health Center,0,0,Tigray,Raya Azebo Woreda,,173101203,1589,0,,1,104,10406,104060028,3,2007,5,0,2
Agbe Health Center,0,0,Tigray,Tanqua Abergele Woreda,4a = d4T-3TC-NVP : males,241321370,3832,0,4.2.1.4.1.1,1,102,10210,102100021,3,2007,6,0,2
Tarkaanfataa Health Post,0,0,Oromiya,Doba Woreda,,356162395,643,0,,4,409,40902,4090200305,3,2007,8,0,3
Harxume Lama Health Post,0,0,Oromiya,Bule Hora Woreda,Number of outpatient visits,402292712,4533,0,1.1,4,412,41206,4120600314,3,2007,3,0,3
Chambe Health Center,0,0,Oromiya,Horo Woreda,,115029881,277,0,,4,419,41901,419010023,3,2007,10,0,2
,,,Afar,Gulina Woreda,,156954377,314,0,,2,204,20405,204050026,3,2007,7,0,3
Mote Health Center,0,0,Oromiya,Wama Hage Woreda,,343166291,1189,0,,4,402,40216,402160021,3,2007,10,0,2
Wahil Health Center,,,Dire Dawa,Wahil Operational Woreda Health Office,OTHER                                : males,251264755,4430,0,4.2.1.2.2.21,15,0,150102,1501020021,3,2007,6,0,2
Chulul Jiru Belina,,,Oromiya,Girawa Woreda,,357020867,308,0,,4,410,41016,410160037,3,2007,10,0,3
Diregudia Health Center,0,0,Oromiya,Kurfa Chele Woreda,Repeat acceptors by age,401728406,4,0,1.1.1.1.2,4,410,41007,410070023,3,2007,4,0,2
Bososo Health Center,0,0,Oromiya,Oda Bultum Woreda,,115620141,1287,0,,4,409,40917,409170023,3,2007,4,0,2
Asmela Health Post,0,0,Amhara,Raya Kobo Woreda,,152417662,396,0,,3,303,30302,3030200334,3,2007,10,0,3
Kagni Gabrel Health Center,0,0,Oromiya,Midakegni Woreda,,341548097,937,0,,4,405,40504,405040022,3,2007,3,0,2
Janora Health Center,0,0,Amhara,Dabat Woreda,Number of discharges,380093617,180,0,4.1,3,301,30105,301050026,3,2007,4,0,2
Surrii Health Post,0,0,Oromiya,Oda Bultum Woreda,,356202847,839,0,,4,409,40917,4091700302,3,2007,3,0,3
Gili Wadessa Health Post,0,0,Oromiya,Dera Woreda,LQAS score,400562858,188,0,4.1,4,406,40602,4060200302,3,2007,2,0,3
Tumme Wayu Health Center,0,0,Oromiya,Tole Woreda,,114843889,663,0,,4,413,41308,413080024,3,2007,8,0,2
Talak Meda Health Post,0,0,Amhara,Simada Woreda,,152273852,284,0,,3,302,30207,3020700340,3,2007,0,0,3
Nono Health Center,0,0,Oromiya,Nono Benj Woreda,,342091100,972,0,,4,404,40418,404180022,3,2007,0,0,2
Zayita Health Center,0,0,Amhara,Merhabete Woreda,Number of children received all vaccine doses before 1st birthday,378464392,26,0,1.3.8.1,3,305,30502,305020022,3,2007,1,0,2
Kalo Guracha Health Post,0,0,Oromiya,Jimma Rare Woreda,OPD visits < 5: repeat Female,398722047,167,0,1.1.4,4,419,41907,4190700319,3,2007,0,0,3
Honogo Bonkicha Health Post,0,0,Oromiya,Siraro Woreda,,114934923,432,0,,4,417,41701,4170100307,3,2007,0,0,3
Tengoma Health Center,0,0,Amhara,Enarj Enawga Woreda,,145458690,1098,0,,3,306,30605,306050026,3,2007,4,0,2
Semema Health Center,0,0,Tigray,Nader Adet Woreda,,174107104,335,0,,1,102,10207,102070023,3,2007,0,0,2
Ayna Mikael Health Post,0,0,Amhara,Bugna Woreda,OPD visits < 5: new Male,377752118,164,0,1.1.1,3,303,30301,3030100302,3,2007,10,0,3
Danbi Udo Healt Post,,,Oromiya,Shakiso Woreda,,356536535,372,0,,4,414,41405,414050031,3,2007,7,0,3
Enatayehu Metasebiya Medium Clinic,,,Oromiya,Dendi Woreda,Ferrous Sailt plus Folic Acid,400370553,149,0, ,4,405,40510,405100079,3,2007,9,0,6
Abay Atir Health Center,0,0,Amhara,Kewet Woreda,,145236054,1441,0,,3,305,30512,305120022,3,2007,2,0,2
Gordomoo Health Center,0,0,Oromiya,Didu Woreda,,341119066,1625,0,,4,403,40317,403170022,3,2007,7,0,2
Limun Health Post,0,0,Amhara,Misrak Este Woreda,20 - 24 years,377663896,3012,0,1.1.1.1.1.3,3,302,30208,3020800331,3,2007,0,0,3
Tuqa Health Post,0,0,Oromiya,Moyale Woreda,,357218180,602,0,,4,412,41210,4121000312,3,2007,10,0,3
Zenbaba General Hospital,,,Addis Ababa,Akaki Kality Kifle Ketema,< 1 year,415011562,4497,0,4.2.1.2,14,0,14101,141010034,3,2007,7,0,7
Yifage Health Center,0,0,Amhara,Libokemkem Woreda,,144181209,1628,0,,3,302,30202,302020023,3,2007,6,0,2
Kachima Health Post,0,0,Amhara,Simada Woreda,,152267381,834,0,,3,302,30207,3020700322,3,2007,10,0,3
Dembal Health Center,0,0,Oromiya,Abichuna Gnea Woreda,,342573852,1612,0,,4,406,40609,406090023,3,2007,0,0,2
Abenare Health Post,,,Beneshangul Gumuz,Sherkole Woreda,Number of children under one year of age who have received first dose of Rotavirus  vaccine,368645550,3004,0,1.3.5.1,6,603,60304,603040037,3,2007,4,0,3
Jidola Health Center,0,0,Oromiya,Goro Dola Woreda,                               : females,402811834,3852,0,4.2.1.4.2.6,4,414,41413,414130022,3,2007,7,0,2
Sedi mikael Health Center,0,0,Oromiya,Amigna Woreda,,115558260,1564,0,,4,408,40810,408100022,3,2007,0,0,2
Tegora Health Center,0,0,Amhara,Mida Woremo Woreda,,145061550,1380,0,,3,305,30501,305010024,3,2007,4,0,2
Tsedya Health Center,0,0,Tigray,Wereilehi Woreda,,172988853,1090,0,,1,102,10203,102030024,3,2007,4,0,2
Deroese Health Center,0,0,Afar,Telalak Woreda,5j=ABC+ 3TC+ LPV/r : males,241854506,3865,0,4.2.1.4.2.19,2,205,20501,205010022,3,2007,1,0,2
Rayitu Health Post,0,0,Oromiya,Gura Damole Woreda,,358809835,365,0,,4,411,41115,4111500311,3,2007,7,0,3
Muke Turi Health Center,9.553937,38.875428,Oromiya,Wuchale Woreda,                  : females,400644490,3654,0,4.2.1.1.2.1.16,4,406,40608,406080021,3,2007,4,0,2
Welkitane Gudene Health Center,0,0,Oromiya,Jimma Geneti Woreda,,115056975,754,0,,4,419,41906,419060024,3,2007,1,0,2
Kulmesk Health Center,0,0,Amhara,Lasta Woreda,,152572070,431,0,,3,303,30310,303100021,3,2007,10,0,2
Awusherif Health Center,0,0,Oromiya,Babile Woreda,,342941134,1619,0,,4,410,41004,410040024,3,2007,2,0,2
Assosa Hospital,10.078137,34.540367,Beneshangul Gumuz,,,368266711,1550,0,,6,0,0,603030011,3,2007,0,0,1
Dire Sheh Husen Helath Center,0,0,Oromiya,Gololcha Woreda,                            : females,402011947,3763,0,4.2.1.2.1.6,4,411,41105,411050022,3,2007,0,0,2
Girawa Health Center,9.138937,41.826356,Oromiya,Girawa Woreda,,114656072,393,0,,4,410,41016,410160021,3,2007,7,0,2
Abera Primary Clinic,,,Amhara,,,146222493,1263,0,,3,314,0,314000040,3,2007,1,0,6
Ejersa G Health Center,0,0,Oromiya,Jarso Woreda,,342555126,926,0,,4,410,41002,410020021,3,2007,6,0,2
Genet Medium Clinic,,,Amhara,Injibara Town Woreda,Children,379748551,4496,0, ,3,309,30909,309090023,3,2007,1,0,6
Dibicha Health Post,0,0,Oromiya,Abaya Woreda, Age: 0-24 Months,402382667,3060,0,2.2.2.1,4,412,41213,4121300324,3,2007,3,0,3
Medihanialem Primery Clinic,,,Oromiya,Abichuna Gnea Woreda,,114326780,628,0,,4,406,40609,406090026,3,2007,3,0,4
Azena Health Center,10.66403,36.78001,Amhara,Ankasha Guagusa Woreda,,145818691,1443,0,,3,309,30903,309030022,3,2007,6,0,2
Adikebekli Health Center,0,0,Tigray,Nader Adet Woreda,,173017256,1209,0,,1,102,10207,102070026,3,2007,7,0,2
Eseydeber Health Post,0,0,Amhara,Alefa Woreda,Pneumococcal conjugated doses given (all ages),377287300,3006,0,1.3.10.3(Given),3,301,30115,3011500314,3,2007,2,0,3
Gray Bisha Health Post,,,Oromiya,Gidami Woreda,,357861047,355,0,,4,418,41809,418090026,3,2007,5,0,3
Silka Amba Health Center,0,0,Oromiya,Nono Woreda,>= 50 years : males,400312668,3618,0,4.2.1.1.1.1.7,4,405,40508,405080021,3,2007,10,0,2
Siba Koche Health Center,0,0,Oromiya,Nole Kaba Woreda,,113977923,577,0,,4,401,40115,401150023,3,2007,0,0,2
Dr Demisew Internal Medicine Speciality Clinic,,,Amhara,,,154525702,724,0,,3,314,0,314000059,3,2007,6,0,6
Fododo Health Center,0,0,Oromiya,Diga Woreda,,343345730,853,0,,4,402,40210,402100024,3,2007,0,0,2
Habebe Health Center,0,0,Oromiya,Tole Woreda,,358525199,393,0,,4,413,41308,413080023,3,2007,9,0,2
Meliyu Health Center,0,0,Oromiya,Goro Woreda,25-49 years : males,402167368,3616,0,4.2.1.1.1.1.5,4,411,41116,411160022,3,2007,5,0,2
Haro Gerbicho Health Center,0,0,Oromiya,Bore Woreda,,114873905,527,0,,4,414,41402,414020022,3,2007,0,0,2
M_Selam Health Center,9.0543423,38.7293816,Amhara,Borena Woreda,,145008567,1265,0,,3,304,30421,304210021,3,2007,8,0,2
Jema Health Center,7.6764076,36.8297848,Tigray,Endamehoni Woreda,,174172473,528,0,,1,104,10405,104050024,3,2007,1,0,2
ABEBE Primary Clinice,,,Beneshangul Gumuz,Sirba Abay Woreda,,368333727,697,0,,6,604,60402,604020036,3,2007,7,0,6
Mechitu Leman Health Post,0,0,Oromiya,Enkelo Wabe Woreda,,356528949,799,0,,4,408,40824,4082400307,3,2007,6,0,3
C_Bildimaa Health Post,0,0,Oromiya,Bedele Zuria Woreda,OPD visits > = 15: new Male,399757189,172,0,1.1.9,4,403,40322,4032200303,3,2007,5,0,3
Amede Work Health Center,12.423224,38.708817,Amhara,Dehana Woreda,,145741390,1116,0,,3,308,30803,308030021,3,2007,5,0,2
Awora Health Center,0,0,Tigray,Welkayit Woreda,,174199685,307,0,,1,105,10502,105020023,3,2007,7,0,2
Belago Health Post,0,0,Amhara,Raya Kobo Woreda,Number of children screened and have severe acute malnutrition,377785301,3065,0,2.3.2,3,303,30302,3030200333,3,2007,2,0,3
